id,email,password,is_verivied,is_staff,is_admin
1,someone@outlook.com,someone123,f,f,f
2,anotherone@outlook.com,anotherone123,f,f,f
3,zxczxc@outlook.com,123123,f,f,f
4,whoami@gmail.com,ahdiahwdihawihdiawh,f,f,f
5,TEST@gmail.com,test123,f,f,f
6,qwe@gmail.com,QWE123,f,f,f
7,theend@gmail.com,thenend123,f,f,f
8,theend@gmail.com,thenend123,f,f,f
9,theend@gmail.com,thenend123,f,f,f
10,theend@gmail.com,thenend123,f,f,f
11,theend@gmail.com,thenend123,f,f,f
12,theend@gmail.com,thenend123,f,f,f
13,theend@gmail.com,thenend123,f,f,f
14,theend@gmail.com,thenend123,f,f,f
15,zxcvbn@gmail.com,zxcvbn420,f,f,f
16,zxcvbn@gmail.com,zxcvbn420,f,f,f
17,zxcvbn@gmail.com,zxcvbn420,f,f,f
18,zxcvbn@gmail.com,zxcvbn420,f,f,f
19,zxcvbn@gmail.com,zxcvbn420,f,f,f
20,zxcvbn@gmail.com,zxcvbn420,f,f,f
21,final.email@gmail.com,finalpassword123,f,f,f
22,"",finalpassword123,f,f,f
23,lastboss@gmail.com,lastboss,f,f,f
24,drogonapp@drogon.org,"",f,f,f
25,snap@gmail.com,supersnap,f,f,f
